ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,19.84,52,87,4.96,AU,1701022380
1,crane,31.3974,-102.3501,8.44,35,100,5.6,US,1701022381
2,walvis bay,-22.9575,14.5053,16.16,70,26,6.76,NA,1701022377
3,gamay,12.3854,125.2979,25.23,93,33,2.12,PH,1701022383
4,igarka,67.4667,86.5833,-27.5,99,80,2.58,RU,1701022384
5,oranjemund,-28.55,16.4333,17.5,84,8,6.37,NA,1701022385
6,west island,-12.1568,96.8225,25.99,78,100,3.09,CC,1701022385
7,bethel,41.3712,-73.414,8.6,69,100,2.06,US,1701022386
8,pochep,52.9336,33.4464,-1.51,89,100,8.83,RU,1701022387
9,anadyr,64.75,177.4833,1.28,100,75,12.0,RU,1701022107
10,waitangi,-43.9535,-176.5597,13.79,97,44,0.45,NZ,1701022388
11,aasiaat,68.7098,-52.8699,-3.7,86,100,2.88,GL,1701022389
12,darende,38.5458,37.5058,9.89,88,100,3.16,TR,1701022390
13,sur,22.5667,59.5289,24.83,59,22,3.71,OM,1701022390
14,puerto ayora,-0.7393,-90.3518,28.98,84,49,3.58,EC,1701022391
15,port-aux-francais,-49.35,70.2167,3.93,66,99,7.99,TF,1701022392
16,blackmans bay,-43.0167,147.3167,9.07,87,96,3.46,AU,1701022394
17,arraial do cabo,-22.9661,-42.0278,23.92,73,75,6.69,BR,1701022251
18,hermanus,-34.4187,19.2345,18.34,79,31,1.18,ZA,1701022395
19,greymouth,-42.4667,171.2,10.28,91,35,1.65,NZ,1701022396
20,wajir,1.7471,40.0573,29.59,56,99,3.19,KE,1701022397
21,pohang,36.0322,129.365,7.25,56,95,1.58,KR,1701022397
22,papao,-17.75,-149.55,27.82,80,82,9.71,PF,1701022398
23,ushuaia,-54.8,-68.3,7.81,57,40,9.26,AR,1701022400
24,yantarnyy,54.8717,19.9381,-2.08,84,100,3.43,RU,1701022400
25,alice springs,-23.7,133.8833,17.75,94,91,0.0,AU,1701022401
26,corumba,-19.0092,-57.6533,27.95,74,40,0.51,BR,1701022402
27,klyuchi,52.2667,79.1667,0.37,49,56,1.28,RU,1701022403
28,grytviken,-54.2811,-36.5092,2.73,99,100,2.62,GS,1701022403
29,calvinia,-31.4707,19.776,25.87,23,6,3.24,ZA,1701022404
30,nagqu,31.5,92.0,-9.61,52,0,1.39,CN,1701022405
31,gaigeturi,33.4644,126.3183,8.03,81,0,1.03,KR,1701022406
32,kapa'a,22.0752,-159.319,25.18,86,75,5.66,US,1701022406
33,howard springs,-12.497,131.047,25.95,96,79,1.56,AU,1701022408
34,alaghsas,17.0187,8.0168,28.94,13,100,4.12,NE,1701022409
35,nemuro,43.3236,145.575,1.08,61,8,6.43,JP,1701022409
36,okhotsk,59.3833,143.3,-18.42,96,100,8.08,RU,1701022410
37,qaqortoq,60.7167,-46.0333,-2.39,83,100,2.38,GL,1701022411
38,amboanjo,-22.6667,47.8167,24.72,79,3,4.88,MG,1701022411
39,jutai,-5.1833,-68.9,29.95,59,93,0.16,BR,1701022412
40,kyzyl-mazhalyk,51.1333,90.6,-11.72,90,30,0.45,RU,1701022413
41,albany,42.6001,-73.9662,5.13,60,96,1.34,US,1701022414
42,tralee,52.2704,-9.7026,10.14,100,75,3.6,IE,1701022414
43,kapuskasing,49.4169,-82.4331,-0.95,86,100,6.17,CA,1701022415
44,yellowknife,62.456,-114.3525,-14.69,89,100,3.09,CA,1701022416
45,remire-montjoly,4.9167,-52.2667,29.02,79,75,1.54,GF,1701022416
46,anaconda,46.1285,-112.9423,-4.45,46,6,1.94,US,1701022417
47,murun-kuren,49.6342,100.1625,-12.79,86,59,2.52,MN,1701022418
48,port elizabeth,-33.918,25.5701,21.29,92,21,0.89,ZA,1701022170
49,invercargill,-46.4,168.35,10.57,93,100,1.18,NZ,1701022420
50,howrah,22.5892,88.3103,21.0,83,20,0.0,IN,1701022421
51,adamstown,-25.066,-130.1015,20.35,90,100,12.06,PN,1701022421
52,ilulissat,69.2167,-51.1,0.01,86,100,1.54,GL,1701022422
53,talnakh,69.4865,88.3972,-23.28,98,88,2.65,RU,1701022423
54,edinburgh of the seven seas,-37.0676,-12.3116,12.92,74,25,14.8,SH,1701022423
55,ndioum,16.5129,-14.6471,31.17,11,0,1.9,SN,1701022424
56,shingu,33.7333,135.9833,7.86,62,1,2.19,JP,1701022426
57,atamyrat,37.8357,65.2106,17.78,16,75,5.65,TM,1701022426
58,iskateley,67.6803,53.1512,-17.21,96,100,1.34,RU,1701022427
59,papatowai,-46.5619,169.4708,9.92,89,99,0.86,NZ,1701022428
60,laguna,38.421,-121.4238,15.6,60,0,2.06,US,1701022429
61,al kharj,24.155,47.3346,25.32,43,9,4.66,SA,1701022430
62,stanley,54.868,-1.6985,4.18,91,75,1.03,GB,1701022193
63,luderitz,-26.6481,15.1594,21.99,54,3,9.69,NA,1701022431
64,betio village,1.358,172.9211,28.47,75,92,2.1,KI,1701022432
65,isafjordur,66.0755,-23.124,2.02,87,75,0.51,IS,1701022432
66,halifax,44.6453,-63.5724,4.71,71,100,6.17,CA,1701022433
67,jamestown,42.097,-79.2353,7.79,63,100,3.09,US,1701022434
68,hawaiian paradise park,19.5933,-154.9731,23.28,94,0,2.06,US,1701022435
69,grand falls-windsor,48.9332,-55.6649,1.39,75,80,0.89,CA,1701022435
70,rosario oeste,-14.8361,-56.4275,36.62,34,24,0.27,BR,1701022436
71,island harbour,50.724,-1.2758,11.63,94,100,4.02,GB,1701022437
72,opuwo,-18.0607,13.84,28.67,41,99,2.15,NA,1701022212
73,vilyuchinsk,52.9306,158.4028,-7.82,79,37,4.19,RU,1701022220
74,wailua homesteads,22.0669,-159.378,24.44,86,75,5.66,US,1701022439
75,amealco,20.1833,-100.15,18.04,33,2,1.7,MX,1701022440
76,zhangzhou,24.5133,117.6556,14.85,91,2,0.94,CN,1701022212
77,pechora,65.1472,57.2244,-20.8,100,74,1.7,RU,1701022442
78,badvel,14.75,79.05,23.01,91,56,2.07,IN,1701022443
79,vila velha,-20.3297,-40.2925,24.97,78,75,5.66,BR,1701022443
80,cabedelo,-6.9811,-34.8339,31.37,60,20,6.46,BR,1701022444
81,tura,25.5198,90.2201,17.88,64,33,1.58,IN,1701022445
82,georgetown,5.4112,100.3354,26.96,83,20,1.03,MY,1701022375
83,puerto natales,-51.7236,-72.4875,10.25,53,75,13.38,CL,1701022266
84,massawa,15.6097,39.45,29.16,65,23,0.82,ER,1701022447
85,beloyarskiy,63.7119,66.6722,-22.79,100,72,1.65,RU,1701022448
86,uzes,44.0167,4.4167,6.75,64,16,4.8,FR,1701022449
87,labytnangi,66.6572,66.4183,-15.63,97,98,1.72,RU,1701022450
88,zheleznodorozhnyy,55.7503,38.0042,-3.69,92,100,4.47,RU,1701022402
89,utrik,11.2278,169.8474,27.67,76,19,9.82,MH,1701022451
90,butembo,0.15,29.2833,14.33,99,99,0.56,CD,1701022452
91,kailua-kona,19.6406,-155.9956,26.95,76,75,4.63,US,1701022454
92,tazovsky,67.4667,78.7,-20.54,91,100,5.01,RU,1701022455
93,la plata,-34.9215,-57.9545,32.24,50,0,3.14,AR,1701022069
94,tafuna,-14.3358,-170.72,27.97,94,75,7.72,AS,1701022456
95,miajadas,39.1513,-5.9084,11.65,63,90,1.41,ES,1701022457
96,kalmunai,7.4167,81.8167,25.51,89,81,0.96,LK,1701022458
97,fort st. john,56.2499,-120.8529,-0.06,74,40,2.57,CA,1701022458
98,tiksi,71.6872,128.8694,-22.71,100,99,2.88,RU,1701022460
99,menongue,-14.6585,17.691,20.82,74,87,1.26,AO,1701022461
100,nyurba,63.2842,118.3319,-15.82,94,100,3.52,RU,1701022462
101,cabo san lucas,22.8909,-109.9124,27.51,62,100,2.06,MX,1701022462
102,solothurn,47.2079,7.5371,3.46,89,0,2.06,CH,1701022463
103,praia da vitoria,38.7333,-27.0667,19.31,100,75,11.56,PT,1701022464
104,st. john's,47.5649,-52.7093,2.21,76,100,4.12,CA,1701022465
105,iqaluit,63.7506,-68.5145,-8.15,67,75,2.06,CA,1701022337
106,atafu village,-8.5421,-172.5159,29.51,73,48,5.89,TK,1701022466
107,holualoa,19.6228,-155.9522,24.88,76,75,4.63,US,1701022467
108,enewetak,11.3474,162.3373,27.8,79,96,9.01,MH,1701022468
109,mount gambier,-37.8333,140.7667,11.63,80,94,3.76,AU,1701022469
110,askoy,60.4092,5.226,2.64,100,75,4.12,NO,1701022470
111,namie,37.4833,141.0,3.73,72,90,2.57,JP,1701022471
112,argo,37.6333,22.7333,11.1,51,11,1.97,GR,1701022471
113,yigo village,13.5361,144.8886,27.16,91,40,8.23,GU,1701022472
114,port alfred,-33.5906,26.891,21.77,93,19,1.34,ZA,1701022473
115,callao,-12.0667,-77.15,21.16,73,20,4.63,PE,1701022236
116,eraan,9.0629,117.7016,25.59,86,99,1.63,PH,1701022475
117,new plymouth,-39.0667,174.0833,14.34,71,20,2.81,NZ,1701022476
118,kani keli,-12.9536,45.1033,27.59,75,87,4.72,YT,1701022477
119,saint-francois,46.4154,3.9054,0.36,94,0,0.0,FR,1701022477
120,ginir,7.1333,40.7,15.33,53,98,3.88,ET,1701022478
121,thompson,55.7435,-97.8558,-15.59,77,100,5.06,CA,1701022261
122,sao joao da barra,-21.6403,-41.0511,26.05,73,99,5.46,BR,1701022480
123,bilibino,68.0546,166.4372,-14.06,88,12,2.9,RU,1701022481
124,hamilton,39.1834,-84.5333,8.18,88,100,4.12,US,1701022482
125,lib,8.3122,167.3766,27.91,80,82,9.44,MH,1701022483
